Stations_id,von_datum,bis_datum,geoBreite,geoLaenge
3,19500401,20110401,50.7827,6.0941
5,19790102,19950630,50.8167,6.1833
41,20120201,20170310,52.7616,9.5544
98,19490101,19541206,51.189,8.4671
102,19790101,20180716,53.8633,8.1275
125,19930301,20180716,47.8342,10.8667
149,20111101,20180101,50.0888,9.0598
161,20110901,20180716,50.4237,7.4202
164,19750701,20180716,53.0316,13.9908
175,19511101,19760430,49.2964,10.5751
183,19760401,20180716,54.6792,13.4343
198,19750701,20180716,51.3745,11.292
232,19490101,20180716,48.4254,10.942
258,19800112,19920419,48.8,8.1833
282,19490101,20180716,49.8742,10.9206
298,19900611,20180716,54.3406,12.7108
303,19911118,20180716,52.0614,13.4996
305,19911104,19960110,53.7333,12.9333
342,20101201,20180716,52.317,8.1694
348,19891201,20110902,50.4135,7.5886
361,19490101,19751219,47.6344,13.0109
368,19930301,20180716,52.8152,9.9248
384,20050622,20140918,48.0409,10.0808
399,19900611,20150630,52.5198,13.4057
403,19550101,20180716,52.4537,13.3017
427,19750701,20180716,52.3807,13.5306
430,19610102,20180716,52.5644,13.3088
433,19490101,20180716,52.4675,13.4021
450,20051101,20121204,49.9186,7.0664
460,19490101,20180716,49.264,6.6868
523,20060301,20180601,49.9797,6.5325
581,20120201,20150701,53.9853,11.9981
591,19750701,20180716,53.3911,10.6878
596,19750701,20180716,54.0028,11.1908
599,19820101,19990302,50.7055,7.1467
601,19740102,20031031,50.6983,7.0356
603,19911020,20180716,50.7349,7.1931
620,19790103,19880715,53.8,6.3667
649,19911101,19941001,52.4333,12.45
656,19490101,20180716,51.7234,10.6021
662,19501001,20180716,52.2915,10.4464
685,19790101,20061102,49.9017,9.4281
691,19490101,20180716,53.045,8.7979
701,19490101,20180716,53.5332,8.5761
704,19900403,20180703,53.4451,9.139
706,19790101,19921030,47.8858,7.6611
722,19750701,20180716,51.7986,10.6183
743,19790102,20010929,51.2,6.1333
766,19790101,20180716,50.1746,7.0595
769,19790102,20180716,52.2817,9.0889
785,19790101,19861031,54.1333,8.8667
801,20021101,20171017,49.4472,10.326
832,19790102,19950810,50.9833,6.9
840,19900611,20180716,50.4313,12.6114
850,19790103,20180716,52.5959,10.0296
853,19750701,20180716,50.7913,12.872
856,19790101,20180716,47.8843,12.5404
867,19490101,20180716,50.3067,10.968
876,19750701,19901231,51.304,13.0096
879,19790101,20030611,51.7667,14.2833
880,19830103,20180716,51.776,14.3168
891,19490101,20180716,53.8713,8.7058
906,19790101,19840827,54.2023,11.0914
920,19490101,19870929,49.8564,8.5929
923,20111101,20170719,51.8017,9.6848
950,19790101,19930326,51.95,8.9
953,19500701,20180716,49.7619,7.0541
954,19790101,20180716,54.1796,7.4587
963,19870502,20180716,52.5881,8.3424
988,20050901,20160202,52.6746,8.1135
1001,19750701,20180716,51.6451,13.5747
1048,19750701,20180716,51.128,13.7543
1078,19490501,20180716,51.296,6.7686
1095,20060901,20110725,51.5642,10.1522
1131,19911009,19940930,51.831,8.9506
1164,19911009,19941023,50.6532,6.2808
1185,19790101,20021025,54,8.1167
1200,19861101,20180626,54.0691,9.0105
1219,19490101,19970709,53.3449,7.1909
1228,19880815,20180716,54.1651,6.346
1260,19490101,19500630,49.7297,7.0897
1261,19790101,19920619,48.3192,11.944
1262,19920517,20180716,48.3477,11.8133
1270,19750701,20180716,50.9829,10.9608
1303,19490101,20180716,51.4041,6.9677
1339,19930301,20180716,52.9157,10.1885
1341,19790103,20110929,54.6,11.15
1346,19490101,20180716,47.8749,8.0038
1355,19790101,19900206,53.9167,7.8333
1358,19750701,20180716,50.4283,12.9535
1402,19820401,19930217,54.7,7.1667
1420,19490101,20180716,50.0259,8.5213
1443,19490101,20180716,48.0233,7.8344
1457,20111101,20180101,50.1412,9.137
1468,19490101,20180716,48.4537,8.4091
1503,20121001,20180716,53.0643,7.9022
1504,19930301,20180716,51.119,9.2799
1515,19790101,20030731,48.2,11.2667
1544,19750701,20180716,52.5129,11.3941
1550,19490101,20180716,47.4831,11.0623
1572,19900809,20180716,50.9593,6.0392
1580,19830801,20180716,49.9859,7.9549
1587,19800825,20180716,48.9481,11.4289
1605,19900612,20180716,52.3875,12.1601
1612,19750701,20180716,50.8813,12.1289
1639,19490101,20180716,50.6017,8.6439
1666,19790101,20180716,54.8273,9.5057
1669,20061101,20151201,53.8083,12.9678
1684,19750701,20180716,51.1622,14.9506
1691,19501001,20180716,51.5002,9.9507
1694,19900611,20180716,53.606,12.1033
1701,20111101,20141218,53.046,11.3608
1757,19780101,20180716,54.0967,13.4056
1759,20001101,20180716,54.2437,13.9102
1766,19891001,20180716,52.1344,7.6969
1832,19821101,20180716,49.1128,13.1342
1833,19490101,19821031,49.0851,13.2801
1869,19900611,20180716,53.3153,13.9338
1892,19490103,20131028,51.9298,8.3005
1957,19911101,20150323,51.5138,11.9499
1975,19490101,20180716,53.6332,9.9881
2014,19490101,20180716,52.4644,9.6779
2023,19790101,20180716,48.7918,10.7062
2044,19900611,20180716,51.652,11.1367
2055,20090101,20150101,50.0493,10.4947
2080,20040701,20120912,49.4206,8.6676
2115,19520301,20180716,54.175,7.892
2171,19520901,20180716,50.8519,9.7378
2236,20050301,20180101,49.049,7.756
2261,19490101,20180716,50.3122,11.8761
2290,19490101,20180716,47.8009,11.0108
2303,19790101,20180716,54.3146,9.539
2315,19911101,20180716,51.7657,13.1666
2338,19790101,20051223,52.3333,7.55
2374,19490101,19740623,54.4752,9.0564
2385,19930301,20180716,49.6927,7.3264
2410,19790102,20180716,48.7112,11.5362
2429,19930301,20180716,53.9897,9.5696
2437,19790101,20180716,54.457,9.5203
2456,19790101,20050826,53.5322,7.8806
2483,19541207,20180716,51.1803,8.4891
2485,20110501,20180716,48.9171,9.6872
2494,19930301,20131020,51.7329,6.2688
