Stations_id,von_datum,bis_datum,geoBreite,geoLaenge
3,19500401,20110331,50.7827,6.0941
44,20070401,20180713,52.9335,8.237
52,19760101,19880101,53.6623,10.199
71,20091201,20180713,48.2156,8.9784
73,20070401,20180713,48.6159,13.0506
78,20041101,20180713,52.4853,7.9126
91,20040901,20180713,50.7446,9.345
102,20020101,20180713,53.8633,8.1275
106,19990101,20061201,51.7976,10.4429
125,19710104,20180713,47.8342,10.8667
131,20041101,20180713,51.0881,12.9326
142,19820101,20180713,48.406,11.3117
150,20050701,20180713,49.7273,8.1164
151,20050301,20180713,49.4691,11.8546
154,20050301,20180713,48.0197,12.2924
161,20110901,20180713,50.4237,7.4202
164,19560101,20180713,53.0316,13.9908
167,20040901,20180713,53.8412,13.6846
175,19550101,19751231,49.2964,10.5751
181,19990928,20081103,52.8761,11.5042
183,19730101,20180713,54.6792,13.4343
191,20041104,20180713,49.9695,9.9113
198,19610101,20180713,51.3745,11.292
217,20050101,20180713,47.8774,11.3642
222,19820101,20180713,50.5907,12.714
232,19550101,20180713,48.4254,10.942
257,20021101,20180713,48.727,8.2458
259,20040701,20180713,47.8064,7.6387
268,19960718,20081231,48.5293,8.2727
282,19610101,20180713,49.8742,10.9206
284,19470101,19550101,49.88,10.88
294,20040701,20180713,52.3199,9.43
298,19810101,20180713,54.3406,12.7108
303,19930819,20180713,52.0614,13.4996
314,20040501,20180713,51.1604,14.5042
320,20060701,20180713,49.9667,11.5197
326,20040701,20130708,51.7204,8.0577
330,20040801,20180713,49.5617,8.9673
342,20101201,20180713,52.317,8.1694
348,19891215,20110901,50.4135,7.5886
350,19990601,19991231,51.6715,10.7268
361,19480101,19760101,47.6344,13.0109
368,20020101,20180713,52.8152,9.9248
377,20041001,20180713,49.107,7.9967
379,20170901,20180713,50.9074,11.2665
390,20040701,20180713,50.9837,8.3683
396,19700501,20180713,52.5209,13.4094
397,19700101,20180713,52.5209,13.4094
398,19700101,20180713,52.5208,13.4094
399,19691201,20110801,52.5198,13.4057
400,19910101,20180713,52.6309,13.5022
403,20020101,20180713,52.4537,13.3017
410,20040501,20180713,52.404,13.7309
420,20070801,20180713,52.5447,13.5598
424,19610101,19810101,52.5,13.4667
427,19730101,20180713,52.3807,13.5306
430,19860101,20180713,52.5644,13.3088
433,19510101,20180713,52.4675,13.4021
445,20050701,20180713,51.8218,11.7109
450,20051101,20121204,49.9186,7.0664
460,19610101,20180713,49.264,6.6868
474,19750601,19780601,48.1252,9.7639
535,20040601,20180713,50.0372,7.3079
553,19510101,19710101,51.838,6.6107
554,19710101,20060228,51.8293,6.5365
555,20080101,20180713,51.4789,7.2697
591,19730101,20180713,53.3911,10.6878
596,19730101,20180713,54.0028,11.1908
598,19490101,19570101,50.7285,7.0839
599,19840101,19971201,50.7055,7.1467
601,20020102,20031031,50.6983,7.0356
603,20010403,20180713,50.7349,7.1931
617,20040601,20180713,51.8728,6.8862
656,19480101,20180713,51.7234,10.6021
662,19510101,20180713,52.2915,10.4464
685,20020101,20061031,49.9017,9.4281
691,19490101,20180713,53.045,8.7979
701,19490101,20180713,53.5332,8.5761
