Aachen-Burtscheid;AABU;52066;Aachen;Burtscheid;Hein-Görgen-Str.;2506670;5624362;GK;205;
Bielefeld-Ost;BIEL;33607;Bielefeld;Innenstadt;Herman-Delius-Straße / Ecke Bleichstraße;3469072;5765577;GK;102;
Bonn-Auerberg;BONN;53117;Bonn;Auersberg;An der Josefshöhe (neben P2 Sportplatz);2576444;5624799;GK;57;
Borken-Gemen;BORG;46325;Borken;Gemen;Pumpenwerk Landwehrstr.;2560287;5747911;GK;45;
Bottrop-Welheim;BOTT;46238;Bottrop;Welheim;Welheimer Straße (an der Schule);2567839;5710614;GK;40;
Duisburg-Buchholz;BUCH;47249;Duisburg;Buchholz;Böhmerstraße (an der Schule);2553157;5694783;GK;30;
Köln-Chorweiler;CHOR;50765;Köln;Chorweiler;Fühlinger Weg;2562115;5654171;GK;45;
Datteln-Hagem;DATT;45711;Datteln;Hagem;Mozartstraße (Grünfläche Schulgelände);2592206;5723843;GK;80;
Düsseldorf Corneliusstr.;DDCS;40215;Düsseldorf;Friedrichstadt;Corneliusstr. 71;2554723;5675646;GK;37;
Dortmund-Eving;DMD2;44145;Dortmund;Mitte;Burgweg;2601164;5712387;GK;75;
Eifel (Simmerath);EIFE;52152;Simmerath;Lammersdorf;An der B399 ca. 6km von Simmerath;2519919;5613108;GK;572;
Essen-Schuir (LANUV);ELAN;45133;Essen;Schuir;Wallneyer Str. 6 (Gelände des LANUV);2567232;5697365;GK;153;
Elsdorf-Berrendorf;ELSB;50189;Elsdorf-Berrendorf;;Zum Sportplatz/Holunderweg;2540975;5643699;GK;83;
Essen-Vogelheim;EVOG;45356;Essen;Vogelheim;Ecke Hafenstraße/Wildstr.;2568170;5707343;GK;47;
Gelsenkirchen-Bismarck;GELS;45889;Gelsenkirchen;Schalke;Trinenkamp (Parkplatz am Sportplatz);2576492;5711592;GK;40;
Hattingen-Blankenstein;HATT;45527;Hattingen;Holthausen;An der Becke (Gewerbegebiet Zum Ludwigstal;2584142;5697175;GK;93;
Hürth;HUE2;50354;Hürth;;Dunant-Straße (gegenüber dem Sportplatz);2561542;5638229;GK;90;
Krefeld-Linn;KREF;47809;Krefeld;Linn;Hammerstraße (gegenüber Haus 52);2544658;5689407;GK;32;
Krefeld (Hafen);KRHA;47809;Krefeld;;Hentrichstraße;2546740;5689970;GK;30;
Leverkusen-Manfort;LEV2;51373;Leverkusen;Manfort;Manforter Str.;2570550;5655340;GK;50;
Düsseldorf-Lörick;LOER;40547;Düsseldorf;Lörick;Zum Niederkassler Deich;2551177;5679626;GK;32;
M.-gladb.-Rheydt;MGRH;41239;Mönchengladbach;Rheydt;Urftstrasse / Ecke Hubertusstrasse;2529826;5668933;GK;78;
Münster-Geist;MSGE;48151;Münster;Geist;Gut Insel (Gelände der Ludwig-Erhard-Schul;3404586;5756753;GK;63;
Nettetal-Kaldenkirchen;NETT;41334;Nettetal;Kaldenkirchen;Juiserfeldstraße;2513694;5688037;GK;49;
Lünen-Niederaden;NIED;44532;Lünen;Niederaden;Kreisstraße (Schule);3400964;5718499;GK;58;
Niederzier;NIZI;52382;Niederzier;;Treibbachstr. (am Feuerwehrgerätehaus);2533072;5638788;GK;105;
Ratingen-Tiefenbroich;RAT2;40880;Ratingen;West;Daniel-Goldbach Str.;2557224;5685777;GK;41;
Düsseldorf-Reisholz;REIS;40599;Düsseldorf;Reisholz;Further Straße (am Ende des Parkplatzes);2560111;5673004;GK;40;
Köln-Rodenkirchen;RODE;50996;Köln;Rodenkirchen;Friedrich-Ebert-Straße (Baumschule);2569361;5639851;GK;45;
Netphen Rothaargebirge;ROTH;57271;Netphen;;Nauholzer Weg(gegeüber Försterei Hohenrot);3443264;5644205;GK;635;
Schwerte;SHW2;58239;Schwerte;;Konrad-Zuse-Straße;3401518;5702524;GK;157;
Marl-Sickingmühle;SICK;45772;Marl;Sickingmühle;Alte Straße (vor der Schule);2577662;5730006;GK;42;
Soest-Ost;SOES;59494;Soest;;Enkesenweg;3441005;5715477;GK;110;
Solingen-Wald;SOLI;42719;Solingen;Wald;Dültgenstaler Str.;2573641;5672618;GK;207;
Mülheim-Styrum;STYR;45476;Mülheim;Styrum;Neustadtstraße (am Sportplatz);2560175;5702450;GK;37;
Unna-Königsborn;UNNA;59425;Unna;Königsborn;Palaiseaustraße (Schulzentrum);3409468;5713364;GK;72;
Aachen Wilhelmstr.;VACW;52070;Aachen;;Wilhelmstrasse;2506798;5626412;GK;163;22/24
Bielefeld Detmolder Straße;VBID;33604;Bielefeld;;Detmolder Straße;3469363;5763623;GK;137;177/179
Dortmund Brackeler Str.;VDOM;44145;Dortmund;Mitte;Brackeler Straße;2603007;5710939;GK;76;14/16
Dortmund Steinstr.;VDOR;44147;Dortmund;;Steinstr./Ecke Münsterstr.;2601680;5710475;GK;74;
Duisburg Kard.-Gal. Str.;VDUI;47051;Duisburg;Altstadt;Kardinal-Gahlen Straße;2553708;5700625;GK;34;
Essen Gladbecker Str.;VEAE;45326;Essen;Altenessen;Gladbecker Straße;2569881;5705297;GK;55;244
Essen-Ost Steeler Str.;VESN;45138;Essen;Ost;Steeler Str. / Ecke Markgrafenstraße;2571682;5702345;GK;100;
Gels. Kurt.-Schu.-Str.;VGES;45881;Gelsenkirchen;Schalke;Kurt-Schumacher-Straße;2575309;5710933;GK;40;109
Hagen Graf-v.Galen-Ring;VHAM;58095;Hagen;;Graf-von-Galen-Ring;2601972;5693029;GK;106;
Köln Clevischer Ring;VKCL;51065;Köln;Mülheim;Clevischer Ring;2570617;5647995;GK;48;
Köln Turiner Str.;VKTU;50674;Köln;;Turiner Straße;2567345;5646228;GK;49;
M.-gladb. Fr.-Ebert-Str;VMGF;;Mönchengladbach;;;;;;;
